1,Orryngo Pharmacy,672277036,"Main Street, Addalaichenai",Ampara
2,Rajya Osusala,672057625,"74, TD/02, Akkaraipattu",Ampara
3,BIO pharmacy,770367674,Main Street Akkaraipattu,Ampara
4,SMS pharmacy,672279494,Akkaraipattu,Ampara
5,Welcome pharmacy,777197333,"No 218, Main Street, Akkaraipattu",Ampara
6,Zam Zam Pharmacy,672277698,"Main Street, Akkaraipattu",Ampara
7,Nova Pharmacy,771358848,"104/ Main Street, Akkaraipattu",Ampara
8,Rajya Osusala,632223088,"Temple Junction, D. S. Senanayake Veediya, Ampara",Ampara
9,Prabhoda Pharmacy,635674013,"Prabhodha Hospitals Pvt Ltd, Pandukabaya Mw, Ampara",Ampara
10,Food City -Ampara,632222372,"18, Regal Cinema, Nidahas Mawatha",Ampara
11,Oslaka Pharmacy,705259783,Dehiattakandiya,Ampara
12,Arokya Pharmacy and Grocery,774754678,"299, Batticoloa Road, Kalmunai",Ampara
13,New Harcourts Pharmacy,672226292,"266/4, Main Street, Kalmunai",Ampara
14,T.M.M. Pharmacy,777999772,"No 446, Main Street, Kalmuni",Ampara
15,Aboo Pharmacy,755195545,"310, Main Street, Natpiddimunai 02, Kalmunai",Ampara
16,City Pharmacy,773508343,"Main Street, Kalmunai",Ampara
17,Unico Pharmacy,776912014,Mahaoya,Ampara
18,Best Medical,776688664,"No 31 Main Street, Ninthavur",Ampara
19,"Rajya Osusala, Nintavur",NaN,"Main Street, Nintavur.",Ampara
20,SSI Pharmacy & Costemics,672250826,"No. 83, Bank Road, Nintavur 13",Ampara
21,New Ruhunu Pharmacy,713386560,Padiyathalawa,Ampara
22,Jespa Pharmacy,776691089,Pottuvil,Ampara
23,Imaad Pharmacy & Channelling,672222856,"No. 554, Main Street, Sainthamaruthu-7",Ampara
24,Al-Bayan Pharmacy,776153088,"No 91, Main Street, Sammanthurai",Ampara
25,Jafas pharmacy,779047078,"Hijra Junction, Sammanthurai",Ampara
26,Medicare Pharmacy,672260129,"Hospital Road, Samanthurai",Ampara
27,APS Pharmacy,755231046,"Main Street, Thirukovil",Ampara
28,S.C. Pharmacy,750502995,"Main Street, Thirukovil",Ampara
29,New Gampaha Pharmacy,772778261,Uhana,Ampara
30,Osada Pharmacy,766754140,Gonagala,Ampara
31,Osada Pharmacy,772451749,Uhana,Ampara
32,Ajith Pharmacy,772778261,Uhana,Ampara
33,Medicare Pharmacy,773350347,Hingurana,Ampara
