163,K.R.Medical,773763481,"Main Road,Arayampathy",Batticaloa
164,Batticaloa Medical,652224400,"94, Bar Road, Batticaloa",Batticaloa
165,S.K. Siranjeevi Pharmacy,652051151,"570D, Sinna Urani,Trinco Rd, Batticaloa",Batticaloa
166,Sakthi Medical,652228548,"118A, Hospital Road, Batticaloa",Batticaloa
167,Tip Top Pharmacy,652222221,"20, Central Road, Batticaloa",Batticaloa
168,Vision Pharma,779123494,"59C, Koolavadi Road, Batticaloa",Batticaloa
169,Eastern Medical,652240450,"Main Street, Chenkaladi",Batticaloa
170,Alif Medicare,772247157,"Maccamadi Road,Eravur",Batticaloa
171,Ifham Pharmacy,652241777,"271A, Main Street, Eravur",Batticaloa
172,New Fanoona Pharmacy,652241071,"AKM Road, Eravur-3",Batticaloa
173,New Hafees Medical,652240434,"18, Punnaikudah Road, Eravur",Batticaloa
174,United Pharmacy,NaN,"37, Main Street,Eravur",Batticaloa
175,Gayathri Pharmacy,652250036,"Hospital Road, Kaluwanchikudy",Batticaloa
176,Selva Pharmacy,652251960,"Main Street, Kaluwanchikudy",Batticaloa
177,Sheron Pharmacy & Baby care,771792840,"Main Street, Periya Kallar",Batticaloa
178,Boots Pharmacy,775025874,"66,Main Road,Kattankudy-03",Batticaloa
179,Central Pharmacy,652059770,"288, Beach Road, Kattankudy",Batticaloa
180,Jusla Pharmacy,766755042,"No.158, Main Street, Kattankudy-06",Batticaloa
181,New Life Pharmacy,771755645,"116A,AHM.Fowzy Mawaha, New Katankudy-02",Batticaloa
182,Rizzly Pharmacy,652246999,"Main Street, Kattankudy",Batticaloa
183,Family pharmacy,777800377,"25,Main st,Kattankudy",Batticaloa
184,Santhively Channeling Centre,652058814,"Main Street, Santhively",Batticaloa
185,Mikka Medical,652257050,"19, Grand Mosque Rd, Oddamawadi-1",Batticaloa
186,Zattra Pharmacy,766689060,"Jummah Mosque Rd, Oddamawadi-1",Batticaloa
187,MCR pharmacy,752012888,Market Road Meeravodai,Batticaloa
188,Sivan pharmacy,778900386,"Main st,Kokkaddisolai",Batticaloa
189,GoodWill Hospital Pharmacy,776616677,"Main Street, Valaichenai.",Batticaloa
190,Seemass Pharmacy,652258800,"MPCS Road, Semmanodai, Valaichenai",Batticaloa
191,Harshigashini Pharmacy,757016286,"Main Street, Weeranchenai, Palugamam",Batticaloa
