540,Gayathri Pharmacy,NaN,773446388,Galle
541,Lal Pharmacy,NaN,713298760,Galle
542,Medi House,NaN,772701301,Galle
543,Sahanro Pharmacy,NaN,773993289,Galle
544,Shirani Drugs,NaN,778538798,Galle
545,Sri Lakshmi Drug stores,703945770,"No 255, New Rd, Ambalangoda",Galle
546,Suwana Pharmacy,NaN,727745481,Galle
547,Sithuruwana Pharmacy,NaN,718282738,Galle
548,Surangi Pharmacy,NaN,774912020,Galle
549,Food City -Ambalangoda,912255155,"98a, New Road, Ambalangoda",Galle
550,Delmon Pharmacy,NaN,777905780,Galle
551,Medi Mart Pharmacy,NaN,771131141,Galle
552,Oxford Pharmacy,NaN,771456241,Galle
553,Priyantha Pharmacy,NaN,727289769,Galle
554,Royal Pharmacy,NaN,772307649,Galle
555,Silvas Medical Stores,774409264,"Kumme, Baddegama",Galle
556,Asoka Pharmacy & Grocery,716508982,"No.16, Main Street, Balapitiya",Galle
557,Isuru Pharmacy,NaN,777036157,Galle
558,Ayesha Pharmacy,712284706,"Station Road, Ahungalla, Balapitiya",Galle
559,Elpitiya Medical Hospital (Pvt) Ltd.,772131614,"No.103A, Main Street, Elpitiya",Galle
560,Lanka Pharmacy,NaN,773036970,Galle
561,New Lanka,NaN,768074553,Galle
562,Sawiya Pharmacy,769671267,"No 106/A, Main Street, Elpitiya",Galle
563,Gayan Pharmacy,NaN,"Indigahawila, Kahaduwa",Galle
564,Star Pharmacy,NaN,776216963,Galle
565,Withanage Pharmacy,NaN,761820224,Galle
566,Susethma Pharmacy,713085113,"No.41/1, Piyandigama, Ahangama",Galle
567,Saranga Pharmacy,771681923,"No 244, Galle Rd, Hikkaduwa",Galle
568,Tharindu Pharmacy,NaN,775599935,Galle
569,G.H. Pharmacy,772289763,"No.36, Kumarakanda, Dodanduwa",Galle
570,Jayachemie Pharmacy,NaN,713330080,Galle
571,Gunawardana Pharmacy,NaN,777374285,Galle
572,Kevin Pharmacy,NaN,776628748,Galle
573,Kurundugaha Medical,NaN,714846460,Galle
574,Lanka Pharmacy,767136366,"Main Street, Uragasmanhandiya",Galle
575,Asanka Pharmacy,NaN,"Borakanda, Karandeniya",Galle
576,Jayasinghe Pharmacy,NaN,771565872,Galle
577,Chanara Pharmacy,NaN,722321111,Galle
578,Nagodawithana Medical Pharmacy,NaN,770449120,Galle
579,Gamage Pharmacy,NaN,759314043,Galle
580,Get Well Pharmacy,NaN,772504107,Galle
581,S.S.Pharmacy,772609671,"No 89, Moraovita Kumbura, Yakkalamulla",Galle
582,Sirisara Pharmacy,NaN,710344866,Galle
583,Pitigala Medical Stores,770328129,"No 29B, Main Street, Pitigala",Galle
584,Sethro Pharmacy,NaN,777203422,Galle
585,Ruhunu Hospital Pharmacy,772531815,"Shady Grove, Karapitiya, Galle",Galle
586,Crystal Pharmacy (Pvt) Ltd,NaN,773103497,Galle
587,New Loyed Pharmacy,NaN,773016015,Galle
588,Oshadi Pharmacy,NaN,777920247,Galle
589,Rajya Osusala,912234726,"61 A, Wakwella Road, Galle",Galle
590,Union Drugs,NaN,773016767,Galle
591,Vijitha Pharmacy,NaN,777629884,Galle
592,Crystal Pharmacy (Pvt) Ltd,NaN,772284627,Galle
593,Dewon Pharmacy,NaN,714494486,Galle
594,Rajya Osusala,912226947,"175, Hiburana Rd, Karapitiya",Galle
595,Rathna Pharmacy,NaN,774208617,Galle
596,Sahana Medical,NaN,777900911,Galle
597,Sridara Pharmacy,NaN,777612584,Galle
598,Senith Pharmacy,706994139,"Maitipe 1 St Lane, Karapitiya, Galle",Galle
599,Riu-Medix Pharmacy,779975803,"No 105/A, Morris Road, Thanipolgaha, Galle",Galle
600,Matara Pharmacy,NaN,"Wakwella Road, Galle",Galle
601,K.K.Pharmacy,766192220,"No 06, Gamini Mawatha, Galle",Galle
602,Dhanuli Pharmacy,711385510,"No 12/B, Udugama Road, Makuluwa, Galle",Galle
603,Asiri Galle OPD pharmacy,773444021,"No 10, Wakwella road, Galle",Galle
604,New Oxford Pharmacy,771456241,"No. 08, H.K.Edmond Mawatha, Serenthukade Junction, Galle",Galle
605,Food City -Galle2,912234995,"44112, Wakwella Road, Galle",Galle
606,Star Pharmacy,915050028,"387, Matara road, Katugoda, Galle",Galle
607,Dulana Pharmacy,772445567,"Thalagsha , Akmeemana , Galle",Galle
608,Induwara Pharmacy,777201947,"Jayanthi Junction, Gonamulla, Galle",Galle
609,Onadhi Pharmacy,NaN,"Akuressa Road, Pilana, Wanchawala",Galle
610,Isuru Pharmacy,764134517,"Baddegama Road, Gonapinuwala",Galle
611,Sethnadee Pharmacy,719163470,"Aluthgama Road, Miriswaththa, Bentota",Galle
612,Sunmed Pharmacy,713116763,"No 133, Galle Road, Bentota",Galle
613,New Yasara Pharmacy,765466985,"102 A, Hirimbura cross road, Galle",Galle
614,Dulmina Pharmacy,718836222,"Udugama Road, Neluwa",Galle
