615,Central Pharmacy,NaN,Nittambuwa,Gampaha
616,Lanka Pharmacy,767741780,"35, New Shopping Complex, Nittambuwa",Gampaha
617,Malitha Pharamacy,767296262,"Moulana Building, Kandy Road, Thihariya.",Gampaha
618,Malitha Pharmacy & Grocery,769250633,"Mawlana Building,Thihariya, Kalagedihena",Gampaha
619,New Central Pharmacy (Near Hopital),777521954,"Aththanagalla Road, Wathupitiwala",Gampaha
620,Osara Pharmacy,719819340,"416/B, Negambo Road, Nittambuwa.",Gampaha
621,Ruhunu Pharmacy & Grocery,774652606,"No.09, Aththanagalla Rd, Wathupitiwala, Nittambuwa",Gampaha
622,Sahana Pharmacy,776934972,"Hospital Road, Wathupitiwala",Gampaha
623,Sasethra Osusala,779198753,"4/A, New Shopping Complex, Veyangoda",Gampaha
624,Sirisanda Osusala,775674050,"Negambo Road, Nittambuwa",Gampaha
625,Suwani Pharmacy,332280424,Ruggahavila,Gampaha
626,Viveka Hospital Pvt Ltd,332295965,"10/A, Kalagedihena Rd, Veyangoda",Gampaha
627,Wijerathne Pharmacy,NaN,Nittambuwa,Gampaha
628,Suwaya Pharmacy,773308996,"472/1C, Susila Wasa, 1st Lane, St'Anthony's mawatha, Nittambuwa",Gampaha
629,Hemalee Pharmacy,772964074,"7, New Bus Stand, Nittambuwa",Gampaha
630,Arogya Osusala,717046703,"Railway Shopping complex, Veyangoda",Gampaha
631,A & B Pharmacy,778081515,"171, Negambo road, Veyangoda",Gampaha
632,City Pharmacy,779514939,"200/1,Hospital road, Wathupitiwala",Gampaha
633,Dewmini Pharmacy,769775787,"77/A, Negambo road, Veyangoda",Gampaha
634,Health City Pharmacy,777410287,"116/B, Kandy road, Thihariya",Gampaha
635,New City Pharmacy,332292591,"49, Main Street, Veyangoda",Gampaha
636,New Wijaya Pharmacy,332282988,"C/B/4/10A, Ranpokunagama, Nittambuwa",Gampaha
637,Sapphire Pharmacy,710464189,"Kandy road, Kalagedihena",Gampaha
638,Thihariya Pharmacy,335678147,"120/E, Kandy road, Thihariya.",Gampaha
639,Medicare pharmacy,777130688,"462/C/1, Kandy road, Nittambuwa",Gampaha
640,Suhanda Pharmacy,718454371,"Pasyala Road ,Attanagalla",Gampaha
641,Guide Pharmacy,774443232,"No-48/A/10, Kahatowita, Veyangoda",Gampaha
