1100,Promadix Pharmacy,342245355,"29/A, Kalutar Rd, Agalawattha",Kalutara
1101,Samarasingha Pharmacy,724864346,Polgampala,Kalutara
1102,Suwasetha Pharmcy,NaN,"31, Rathnapura Rd, Agalawaththa",Kalutara
1103,Isuri Pharmacy,777657019,"Infront of Pimbura Hospital, Pimbura, Agalawatte",Kalutara
1104,Promedix Pharmacy,342245359,"29/A, Kalutara rd, Agalawatta",Kalutara
1105,Dimuthu Pharmacy,712440707,"Rathnapura Rd, Baduraiya",Kalutara
1106,Gamini Pharmacy,342244688,"Rathnapura Rd, Baduraiya",Kalutara
1107,Jeewasingha Pharmacy,711875716,"Rathnapura Rd, Baduraiya",Kalutara
1108,Dasun Pharmacy,NaN,"02, Raigama Junction, Bandaragama",Kalutara
1109,Nethma Pharamacy,777897647,"Market Place, Bandaragama",Kalutara
1110,Oshan Pharmacy,NaN,"06, Panadura Rd, Bandaragama",Kalutara
1111,Rajya Osusala,382288671,"Hospital Premises, Horana Road, Bandaragama",Kalutara
1112,Thisara Pharmacy,NaN,"265, Cross Junction, Alubomulla",Kalutara
1113,Suwaya,714288431,Galanigama,Kalutara
1114,Healthcare pharmacy,775404580,"483/2,Pilekade junction, Atulugama",Kalutara
1115,Nethuki pharmacy & Grocery,774948431,"No.7B,Kothalawala Junction ,Raigama ,Bandaragama",Kalutara
1116,Neeroga pharmacy,382289724,No 23;Panadura Rd.Bandaragama,Kalutara
1117,New Atulugama Pharmacy,772367767,"Galgemandiya, Atulugama, Bandaragama",Kalutara
1118,Chamila Pharmacy,343949431,"6, Station Rd, Aluthgama",Kalutara
1119,Rajya Osusala,342278578,"MPCS Building, Galle Road, Beruwala",Kalutara
1120,Rajmali Pharmacy,342226921,"Galle Rd, Malegoda, Payagala",Kalutara
1121,Sanasro,771393058,Aluthgama,Kalutara
1122,Apollo pharmacy,772029116,"137A,Galle Rd,Beruwala",Kalutara
1123,Thilanka Pharmacy,775240494,"437/B,Ambagas Handiya,Dharga Town",Kalutara
1124,New Shan pharmacy,715235598,"97/c,Galle Rd,Payagala Sourth",Kalutara
1125,Majestic Pharmacy,NaN,No122/A Main Street Dharga Town,Kalutara
1126,Maradana Pharmacy,777205768,"67, Baki Makar Road, Maradana, Beruwala",Kalutara
1127,Gemini Pharmacy,342270613,"Gemini Pharmacy & Grocery Pvt Ltd, Galle Road, Aluthgama",Kalutara
1128,Bulathsinhala Pharmacy,342282033,"84, Main Street, Bulathsinhala",Kalutara
1129,Matharage Pharamacy,776055061,Bulathsinhala,Kalutara
1130,Polesoda Pharmacy,NaN,711379398,Kalutara
1131,Samarasingha Pharmacy,NaN,718045474,Kalutara
1132,Arogya Pharmacy,776029316,"New Town, Dodangoda",Kalutara
1133,Sampath Pharmacy,343122852,"Main Rd, Naboda",Kalutara
1134,Ushan Pharmacy,342280956,"Mathugama Road,Thudugala",Kalutara
1135,Harith Pharmacy,72434657,"Nebada Rd,Thudugala.Dodangoda",Kalutara
1136,Care Pharmaceutical (PVT) (Ltd),716902058,"43, Rathnapura Road, Horana",Kalutara
1137,Central Pharmacy,772622168,"No. 3, Super Market, Anguruwathota Road, Horana",Kalutara
