1235,Akurana Medical,777939614,"68, Main Street, Akurana",Kandy
1236,Cargills Food city,812304690,"Cargills Food City, Akurana",Kandy
1237,CCA Pharmacy,717571948,"210/4, Mathale Rd, Akurana",Kandy
1238,Central Pharmacy,763640302,"114, Akurana, Mathale Rd, Akurana",Kandy
1239,Health First Pharmacy,772228048,"7th Mile Post, Akurana",Kandy
1240,Medi Plus,776073215,"Matale Rd, Akurana",Kandy
1241,Multi Pharmacy,711581633,"1555/1, Alawathugoda",Kandy
1242,Bio Plus Pharmacy,812305070,"260, Mathale Road, Akurana",Kandy
1243,City Pharmacy,812300180,"124, Asna mosque Rd, Akurana",Kandy
1244,Buwelikada Pharmacy,774656565,"16/a, Gelioya Rd, Buwelikada",Kandy
1245,Good Health Pharmacy,710354474,"Watadeniya, Welambada",Kandy
1246,Welambada Phamacy,714957988,"62/A, Welambada",Kandy
1247,ANU Pharmacy,703946597,"Eambukkana Rd, Madige, Galagedara",Kandy
1248,Super Med Pharmacy,NaN,718439038,Kandy
1249,Suwasahana Pharmacy,767490411,"154, Rambukkana Rd, Galagedara",Kandy
1250,Food city Express Galagedara,812463347,"200/C,Hospital Junction,Galagedara",Kandy
1251,Balkrisnan Pharmacy,NaN,779016507,Kandy
1252,Dealon Pharmacy,NaN,812467489,Kandy
1253,Galle Drugs Distributors (Pvt) Ltd.,718393041,"No 14, Ambagamuwa Rd, Gampola",Kandy
1254,Jood pharmacy,814485121,"13, Ambagamuwa Rd, Gampola.",Kandy
1255,Lanka pharmacy,773550685,"44, Malabar Street, Gampola.",Kandy
1256,Raj Pharmacy,773050270,"85, Ambagamuwa Rd,",Kandy
1257,Sun Pharmacy,777673770,"400 N.Eliya Rd, Pussellawa.",Kandy
1258,Cargills Food City,812350872,"8/8, Nawalapitiya Rd, Gampola",Kandy
1259,Genuine Pharmacy,715353518,"15, N'Eliya Rd, Pussellawa",Kandy
1260,King Pharmacy,774311155,"29/6, CTB Busstand, Gampola",Kandy
1261,Multy Pharmacy,812079570,"6/3, Nidahas Mw, Gampola",Kandy
