1471,New Pharmacy Holdings,764020000,"Kandy Road, Kurunegala",Kurunegala
1472,New Rational Pharmacy,717096075,"Kandy Road, Kurunegala",Kurunegala
1473,Suwana Medicals,771196898,Hiripititya Rode Wallawa,Kurunegala
1474,N.S. Pharmacticals Pvt Ltd,716904455,"125, Wilgoda Road , Kurunegala",Kurunegala
1475,Tharindu Pharmacy,713077809,"Negombo Road,Aluth Malkaduwawa, Kurunegala",Kurunegala
1476,Wallawa Medical,774461996,"Heripitiya Road, Wellawa",Kurunegala
1477,Wathhimi Medical,714335363,"231, Colombo road, Kurunegala",Kurunegala
1478,Dinunuwan Pharmacy,762952422,"Narammala Rd., Alawwa",Kurunegala
1479,Manogya Pharmacy,760663854,Alawwa,Kurunegala
1480,New Dinunuwan Pharmacy,777898557,"123, Main street , Alawwa",Kurunegala
1481,City Medicals,702194207,"New Town, Meegalewa",Kurunegala
1482,Osindi Pharmacy,NaN,Main Street Galgamuwa,Kurunegala
1483,The New Pharmacy,769040000,"Main Street, Galgamuwa",Kurunegala
1484,Thilna Medicals,777145691,"Main Street, Galgamuwa",Kurunegala
1485,Victory Pharmacy,NaN,"Galgamuwa Rd, Mahananneriya",Kurunegala
1486,New Pharmacy,372253157,"Main Street, Galgamuwa",Kurunegala
1487,Chanul pharmacy,718160958,"Near the post office, New town, Meegalewa",Kurunegala
1488,Ishara Pharmacy,775000852,"Kuliyapitiya Rd., Hettipola",Kurunegala
1489,Saman Pharmacy & Grocery,772081417,Narammala Road Katupotha,Kurunegala
1490,Nanajeewa Pharmacy,778009079,"Main Street, Kobeigane",Kurunegala
1491,Suwasetha Pharmacy,772571029,"Main Street, Kobeigane",Kurunegala
1492,Suwasewana Pharmacy,774203030,"Hospital Side, Kobeigane",Kurunegala
1493,Deegayu Pharmacy,714196008,"Heelogama Road, Nikawaratiya, Maho",Kurunegala
1494,Jayanthi Pharmacy,773106813,"Morogollagama Road, Maho",Kurunegala
1495,New Medicals,710574355,"Infront of Hospital,Maho",Kurunegala
1496,Sadunsetha Pharmacy,775519034,"Nagollagama, Maho",Kurunegala
1497,Central Pharmacy,NaN,714782561,Kurunegala
1498,New City Medicals,727057050,"No. 8, New Town, Meegalewa",Kurunegala
1499,Suwapiyasa Chemist,712018855,"No 142, Kurunegala Rd, Narammala",Kurunegala
1500,Suwapiyasa Pharmacy,712007012,"Negambo Road, Narammala",Kurunegala
1501,The Anu Pharmacy,717922169,"Wariyapola Road, Kalugamuwa.",Kurunegala
1502,ANDREW PHARMACEUITICALS (WHOLESALE),702261620,"91/1 KADAHAPOLA,HOROMBAWA",Kurunegala
1503,Deepal Medicals,724088860,"Puttlam Road, Nikawaratiya",Kurunegala
1504,Dilcare Pharmacy,714850521,Nikawaratiya,Kurunegala
1505,New City Pharmacy,716551942,"Kanuketiya, Munnakulama",Kurunegala
1506,New Phamacy,777844881,"No 71, Puttalam Road, Nikaweratiya",Kurunegala
1507,Thasen Pharmacy,767540070,"Dadly Mawatha, Nikawaratiya",Kurunegala
1508,Wijaya Pharmacy,777704601,"Heelogama Rd, Nikaweratiya",Kurunegala
1509,Digasiri Pharmacy,772994995,Hanhamunawa,Kurunegala
1510,Nirodha Pharmacy,714894560,"Bus Stand, Wariyapola",Kurunegala
1511,Jayalath Pharmacy,NaN,"20 Juntion AnuradapuraRd , minuwangate",Kurunegala
1512,Chintha Medicals,728100474,"Ehetuwewa Road, Ambanpola",Kurunegala
1513,Amurtha Osusala,765353326,"Giribawa, Pahala Giribawa",Kurunegala
1514,Lanka pharmacy,711664820,"Rajanganaya, Saliya Asokapura, Trac 1",Kurunegala
1515,Asiri Pharmacy,714762547,"88, Dambulla Road, Yakalla",Kurunegala
1516,Ashen Pharmacy,772221335,"189,Madampe Road, Kuliyapitiya.",Kurunegala
1517,Sawaneth Pharmacy,NaN,No 77 Hettipola Rd Kuliyapitiya,Kurunegala
1518,Rajya Osusala,372230840,"No. 28 Bauddaloka Mawatha, Kurunegala",Kurunegala
1519,FSR Chemist,714283264,"No 601, Puttalam Road, kurunegala",Kurunegala
1520,The Pharmacy & Grocery,722224434,"No. 11, Bauddhaloka Road, Kurunegala",Kurunegala
1521,Navinna Pharmacy (Pvt) Ltd.,372223103,"No.05, Bauddhaloka Mawatha, Kurunegala",Kurunegala
1522,The New Pharmacy,372222150,"No.16, Perakumba Street, Kurunegala",Kurunegala
1523,The New Pharmacy,372226091,"No.04, Negombo Road, Kurunegala",Kurunegala
1524,The New Pharmacy (Sethsevana Outlet),372231361,"No.226, Colombo Road, Kurunegala",Kurunegala
1525,New City Pharmacy,766264000,"8, Samodaya Shopping Complex, Mawathagama.",Kurunegala
1526,Susethro Pharmacy,773591025,"No.46, Dasi Mount Estate, Kandy Road, Pilassa",Kurunegala
1527,Central Lanka Pharmacy,717711048,"5, Kandy Road, Mawathagama.",Kurunegala
1528,Paragahadeniya New Pharmacy,760493165,"184, Kandy Road, Paragahadeniya",Kurunegala
1529,Sisira Pharmacy,776464978,"No 09, Main Street, Giriulla",Kurunegala
