1595,Heladiwa Healthcare,714165455,"Galle Road, Akuressa.",Matara
1596,Isuru Pharmacy,718194374,"No. 72/A, Galle Road, Akuressa",Matara
1597,Matara Pharmacy,717388292,Matara Road. Akuressa,Matara
1598,Sampath Pharmacy,773658132,"39E,Matara Road,Akuressa",Matara
1599,New Chathuranga Pharmacy,777151207,"Katanwila, Akuressa",Matara
1600,Food city -Akurassa,412283463,"No.83 Matara Road,Akuressa",Matara
1601,Hirudi Pharmacy,718508989,"No. 82, Thibbotuwawa, Akurassa",Matara
1602,New Westend Pharmacy,412284622,"No 39, Kamburupitiya Road, Akuressa",Matara
1603,New Westend Pharmacy,716416555,"No.39, Kamburupitiya Road",Matara
1604,Gandara New Pharmacy,717663141,"No.120, Gandara",Matara
1605,Shanika Pharmacy,718374894,"No.02, Super Market, Devinuwara",Matara
1606,Sisila Pharmacy,769065719,"No.08, Devinuwara",Matara
1607,Hiruni Pharmacy,717855810,"No.20, Mahawela Road, Dickwella",Matara
1608,Teshan Pharmacy,712500095,"No.550, Market, Walasgala",Matara
1609,Wickrama Pharmacy,412255460,"No.29, Main Street, Dickwella",Matara
1610,Uni Chemist Pharmacy,777202970,Opposite the Police Station,Matara
1611,Food City -Dickwella,412256293,"52, Mahawela Road, Dickwella",Matara
1612,Deepa Sri Pharmacy,772953727,"No. 05, Main Street, Hakmana",Matara
1613,Saliya Pharmacy,775607275,"No.30, New Shopping Complex, Hakmana",Matara
1614,City Pharmacy,770888752,Kamburupitiya,Matara
1615,New Supipi Pharmacy,714492716,"Andapana, Kamburupitiya",Matara
1616,Sithara Pharmacy,712000564,Kamburupitiya,Matara
1617,Supipi Pharmacy,773077272,"Bus Stand, Kamburupitiya",Matara
1618,Sandeep Pharmacy,718169889,"Kubalgama, Dondra",Matara
1619,Lanka Pharmacy,773231999,"No 30,Hakmana Road,Kirinda",Matara
1620,Sahana Pharmacy,711830963,"Hakmana Road, Kirinda Puhulwella",Matara
1621,Sampath Pharmacy,714370868,"Deniyaya road, kotapola",Matara
1622,Aruna Pharmacy,712072282,"Main Street, Deniyaya",Matara
