1788,Gayani Pharmacy,771539776,Anamaduwa,Puttalam
1789,Rajya Osusala,322263999,"40, Opposite Bus Stand, Uswewa Road, Anamaduwa",Puttalam
1790,Sunil Pharmacy,322263309,"Pttalam Rd., Anamaduwa",Puttalam
1791,Luxa Pharmacy,715618884,"Opposite Hospital, Anamaduwa",Puttalam
1792,Neththara Pharmacy,NaN,"Bus Stand, Anamaduwa",Puttalam
1793,Health Care Pharmacy,322224085,"32A, Kurunagala Road, Chilaw",Puttalam
1794,Royal Pharmacy,716071144,Chilaw,Puttalam
1795,Suhada Pharmacy (Pvt) Ltd.,704682500,"No. 02, Colombo Road, Chilaw",Puttalam
1796,Union Pharmacy,715626054,Chilaw,Puttalam
1797,JS Pharmacy,718119599,"Kanjukkuliya, Mugunuwatawana, Chilaw",Puttalam
1798,Suwaya Hospital (Pvt) Ltd,771668277,"No. 16, Kurunegala Road, Chilaw",Puttalam
1799,C.M.C.Pharmacy,777161794,"96A,Puttalam Road ,Chilaw",Puttalam
1800,New city Pharmacy,322223329,Chilaw,Puttalam
1801,New Seth Pharmacy,715787449,Kakkapalliya,Puttalam
1802,Pharmaline agencies (Pvt)Ltd,771683653,"No.66,Kurunegala Road ,Chilaw",Puttalam
1803,British Pharmacy,777703713,"No.26, Pannala Road, Dankotuwa",Puttalam
1804,Dankotuwa Medical,777189956,"No. 96, Pannala Road, Dankotuwa",Puttalam
1805,Niroga Pharmacy,761717621,Dankotuwa,Puttalam
1806,Oshadi Pharmacy,766270336,Dankotuwa,Puttalam
1807,St. Anthony's Pharmacy,775223633,"No 25, Pannala Rd, Dankotuwa",Puttalam
1808,Akeela Pharmacy,768348731,Norochcholei,Puttalam
1809,Haneef Pharmacy,711132234,Kalpitiya,Puttalam
1810,Scan Pharmacy,766661566,"No. 06, Bazar Street, Kalpitiya",Puttalam
1811,Zeenath Pharmacy,728431622,Norochcholei,Puttalam
1812,Zidha Pharmacy,773271222,Norochcholei,Puttalam
1813,Medical center Pharmacy,778911144,"Hospital Road, Kalpitiya",Puttalam
1814,Rajapaksa Pharmacy,770030350,Madampe,Puttalam
1815,Selani Medical,771165178,"New Town, Madampe",Puttalam
1816,Situmina Pharmacy,779717433,Madampe,Puttalam
1817,Rahma Pharmacy,763261006,"Sandrik Silva Mawatha, Old Town, Madampe",Puttalam
1818,Rajapaksa Pharmacy,773773357,Silva Town Madampe,Puttalam
1819,Crishanthes Pharmacy,773838633,"Godawala Junction, Mudukatuwa, Marawila",Puttalam
1820,St. Ann’s Pharmacy,77330216,"St. Ann’s Nursing Home, Marawila",Puttalam
1821,West Line Pharmaceuticals,772821710,"Colombo Rd., Marawila",Puttalam
1822,St.Ann's Nursing Home,322250106,Marawila,Puttalam
1823,Balasooriya Hospital (Pvt) Ltd.,711449950,"No 118/A, Kurunegala Road, Puttalam",Puttalam
1824,Bio Pius Pharmacy,719012590,Puttalam,Puttalam
1825,Hanyu Pharmacy Co (Pvt). Ltd.,757347231,"No. 43, Kurunegala Rd., Puttalam",Puttalam
1826,Hunyo Pharmacy,726930885,Puttalam,Puttalam
1827,J & C Pharmacy,778757666,"05,Marikkar street , Puttalam",Puttalam
1828,Lankan Pharmacy,711584592,Puttalam,Puttalam
1829,New Multi Pharmacy,763956654,Palavi,Puttalam
1830,Palavi Pharmacy,752286000,Palavi,Puttalam
1831,Life Pharmacy,322267068,"82, Marikkar Street, Puttalam",Puttalam
1832,Rangana Pharmacy,703701815,"B 18,Bus stand , Kurunagala road , Puttalam",Puttalam
1833,New Saad Pharmacy,755186018,"No 93A , Poles road , Puttalam",Puttalam
1834,Nagawillu Medicals,323322103,"Colombo Road Nagawillu,Palavi,Puttlam",Puttalam
1835,Chandrika Pharmacy,775470917,Nainamadama,Puttalam
1836,Ciciliya Pharmacy,777395540,Wennappuwa,Puttalam
1837,Gayasha Pharmacy,77870646,Nainamadama,Puttalam
1838,Iresha Pharmaceuticals,714250895,"No. 81/1, Chilaw Rd., Wennappuwa",Puttalam
1839,Iresha Pharmacy,771184083,Wennappuwa,Puttalam
1840,New Asiri Medical & Grocery,773978340,"Chilaw Rd(New Road), Wennappuwa",Puttalam
1841,New Westen Pharmacy,771917105,Wennappuwa,Puttalam
1842,Pradeep Pharmacy,778365520,Nainamadama,Puttalam
1843,Prasanna Pharmacy,777564683,Wennappuwa,Puttalam
1844,Saduni Pharmacy,714018189,Nainamadama,Puttalam
1845,Sarani Pharmacy,777442845,Nainamadama,Puttalam
1846,Sithara Pharmacy,772096570,Wennappuwa,Puttalam
1847,Wijaya Pharmacy,774036384,Wennappuwa,Puttalam
1848,Home Needs Pharmacy,777988506,"No. 212, Chilaw Rd., Wennappuwa",Puttalam
1849,St. Joseph Pharmacy,772073498,"Thotupola Junction, Nainamadama",Puttalam
